invoice_id,customer_id,product_id,quantity,unit_price,order_date,revenue
10001,13,88,5,68.81,2025-09-09,344.05
10002,97,65,3,365.21,2024-10-18,1095.63
10003,438,67,6,6.62,2025-07-10,39.72
10004,477,120,2,56.35,2025-05-31,112.7
10005,455,66,2,53.59,2024-04-25,107.18
10006,341,70,6,55.27,2025-04-14,331.62
10007,529,68,6,39.51,2024-07-09,237.06
10008,16,36,3,5.91,2024-10-29,17.73
10009,505,9,2,104.16,2024-06-28,208.32
10010,529,88,6,68.81,2025-02-19,412.86
10011,670,90,5,8.48,2024-12-01,42.4
10012,81,118,6,269.51,2024-04-07,1617.06
10013,193,103,2,8.94,2025-05-03,17.88
10014,333,118,2,269.51,2024-01-07,539.02
10015,277,98,2,6.8,2025-04-02,13.6
10016,612,54,3,48.43,2024-11-05,145.29
10017,520,93,5,48.58,2024-01-12,242.9
10018,277,44,3,3.7,2025-12-10,11.1
10019,253,98,6,6.8,2024-05-01,40.8
10020,451,12,2,64.05,2025-02-19,128.1
10021,544,86,6,32.28,2024-11-14,193.68
10022,545,108,6,12.15,2024-10-29,72.9
10023,369,96,2,335.97,2024-08-12,671.94
10024,788,9,4,104.16,2024-06-05,416.64
10025,438,42,5,81.71,2025-01-17,408.55
10026,410,112,5,74.5,2025-04-27,372.5
10027,617,106,6,7.75,2024-08-11,46.5
10028,623,109,6,20.83,2025-09-02,124.98
10029,710,23,1,143.58,2025-06-22,143.58
10030,434,4,6,21.16,2025-01-05,126.96
10031,72,34,5,32.99,2024-04-24,164.95
10032,55,18,5,11.43,2025-06-01,57.15
10033,213,82,5,12.04,2024-06-02,60.2
10034,169,27,5,59.86,2025-03-28,299.3
10035,109,86,2,32.28,2025-08-20,64.56
10036,457,27,5,59.86,2025-04-01,299.3
10037,656,65,4,365.21,2024-05-15,1460.84
10038,466,38,4,96.76,2025-07-31,387.04
10039,51,105,4,380.37,2025-11-19,1521.48
10040,655,40,6,7.34,2024-01-23,44.04
10041,392,61,1,16.45,2024-08-11,16.45
10042,514,79,1,11.95,2025-03-09,11.95
10043,342,97,1,141.47,2025-07-08,141.47
10044,798,93,1,48.58,2025-04-28,48.58
10045,34,19,4,3.72,2024-07-03,14.88
10046,625,3,6,30.96,2025-10-23,185.76
10047,793,6,3,73.75,2025-01-26,221.25
10048,435,16,4,7.99,2025-01-19,31.96
10049,72,17,6,5.46,2025-07-06,32.76
10050,133,63,3,6.0,2024-05-01,18.0
10051,186,115,5,30.74,2025-02-06,153.7
10052,480,52,6,59.6,2024-08-16,357.6
10053,679,53,1,6.21,2024-11-01,6.21
10054,447,52,6,59.6,2025-07-11,357.6
10055,419,15,4,61.53,2024-08-23,246.12
10056,261,105,3,380.37,2024-06-07,1141.11
10057,292,32,6,34.6,2024-04-25,207.6
10058,34,27,6,59.86,2025-03-05,359.16
10059,529,34,1,32.99,2024-09-03,32.99
10060,217,119,1,18.81,2025-08-31,18.81
10061,34,104,5,15.44,2025-11-19,77.2
10062,557,53,1,6.21,2024-09-07,6.21
10063,598,54,4,48.43,2025-03-25,193.72
10064,252,105,2,380.37,2024-02-27,760.74
10065,144,104,3,15.44,2024-08-27,46.32
10066,667,112,6,74.5,2025-08-12,447.0
10067,328,47,5,106.64,2025-11-19,533.2
10068,670,59,2,19.24,2024-11-05,38.48
10069,714,65,6,365.21,2025-06-17,2191.26
10070,235,99,3,19.12,2024-10-08,57.36
10071,55,30,5,185.82,2024-06-28,929.1
10072,529,2,4,44.93,2025-07-23,179.72
10073,457,106,3,7.75,2025-10-20,23.25
10074,532,51,5,90.07,2024-11-22,450.35
10075,553,66,4,53.59,2024-06-01,214.36
10076,312,24,2,31.17,2025-07-04,62.34
10077,457,71,2,34.02,2024-11-03,68.04
10078,695,90,2,8.48,2025-04-19,16.96
10079,747,64,5,52.6,2025-02-26,263.0
10080,794,83,5,61.86,2025-06-26,309.3
10081,135,6,2,73.75,2024-09-18,147.5
10082,214,118,6,269.51,2024-03-21,1617.06
10083,757,10,3,16.11,2024-04-04,48.33
10084,489,113,2,46.14,2024-02-22,92.28
10085,284,21,6,100.98,2025-09-11,605.88
10086,529,78,1,10.87,2024-07-11,10.87
10087,653,27,5,59.86,2025-11-18,299.3
10088,496,22,4,60.4,2024-08-01,241.6
10089,708,65,3,365.21,2024-11-06,1095.63
10090,788,55,1,82.67,2024-08-04,82.67
10091,774,100,6,33.52,2024-04-30,201.12
10092,601,114,4,20.14,2024-09-05,80.56
10093,552,39,6,64.74,2024-07-28,388.44
10094,392,87,2,40.71,2025-07-19,81.42
10095,331,108,3,12.15,2025-01-24,36.45
10096,452,30,6,185.82,2025-01-02,1114.92
10097,318,65,3,365.21,2025-06-09,1095.63
10098,722,35,4,68.43,2024-04-10,273.72
10099,651,28,6,182.08,2025-04-25,1092.48
10100,623,54,3,48.43,2024-07-27,145.29
10101,372,70,4,55.27,2024-02-16,221.08
10102,500,11,2,26.16,2024-05-29,52.32
10103,18,41,5,30.28,2025-08-21,151.4
10104,515,67,4,6.62,2024-10-29,26.48
10105,155,21,3,100.98,2024-08-23,302.94
10106,383,73,2,57.28,2025-05-26,114.56
10107,494,9,6,104.16,2024-12-11,624.96
10108,271,12,4,64.05,2025-10-19,256.2
10109,598,99,4,19.12,2024-06-21,76.48
10110,588,45,3,69.2,2024-06-22,207.6
10111,144,120,5,56.35,2025-05-15,281.75
10112,192,77,5,145.42,2025-10-19,727.1
10113,788,87,5,40.71,2024-02-04,203.55
10114,681,39,1,64.74,2025-11-15,64.74
10115,39,81,1,37.15,2025-02-26,37.15
10116,141,65,6,365.21,2024-08-24,2191.26
